R	G	B	Size
237	157	51	34.1935483871
235	156	49	34.5161290323
239	154	30	35.5980861244
239	161	30	37.6076555024
249	177	37	39.6226415094
247	179	38	40.4784688995
250	198	82	41.4285714286
248	194	71	41.6949152542
250	203	94	41.9230769231
54	182	65	125.15625
16	161	29	125.379310345
38	146	48	125.555555556
31	158	44	126.141732283
11	153	26	126.338028169
71	121	247	222.954545455
69	119	246	223.050847458
95	138	248	223.137254902
74	123	249	223.2
86	131	247	223.229813665
72	118	241	223.668639053
75	120	241	223.734939759
86	129	245	223.773584906
80	123	242	224.074074074
73	118	243	224.117647059
79	122	242	224.171779141
55	105	246	224.293193717
96	132	239	224.895104895
105	139	241	225.0
42	92	244	225.148514851
46	93	239	225.388601036
43	88	232	225.714285714
29	78	235	225.72815534
42	89	240	225.757575758
61	101	231	225.882352941
65	103	228	226.012269939
40	85	234	226.082474227
42	86	234	226.25
48	89	227	226.25698324
37	82	234	226.294416244
28	72	221	226.321243523
38	80	225	226.524064171
49	88	226	226.779661017
46	85	226	227.0
72	105	227	227.225806452
51	85	216	227.636363636
205	67	89	350.434782609
196	23	49	350.98265896
212	77	97	351.111111111
207	64	85	351.188811189
216	32	56	352.173913043
202	39	60	352.26993865
207	42	63	352.363636364
213	55	71	353.924050633
222	54	70	354.285714286
224	46	61	354.943820225
231	70	83	355.155279503
235	103	111	356.363636364
236	65	71	357.894736842
238	82	87	358.076923077
240	105	108	358.666666667
241	109	111	359.090909091
239	92	92	360.0
243	103	100	361.258741259
244	113	110	361.343283582
244	120	117	361.417322835
